,0,1
1,2020-11-16,-1.07%
2,2020-11-09,8.1%
3,2020-11-02,1.72%
4,2020-10-26,-8.97%
5,2020-10-19,6.98%
6,2020-10-12,-7.5%
7,2020-10-05,8.77%
8,2020-09-28,-12.75%
9,2020-09-21,5.91%
10,2020-09-14,4.07%
11,2020-09-07,-12.52%
12,2020-08-31,-0.34%
13,2020-08-24,11.77%
14,2020-08-17,-8.12%
15,2020-08-10,-6.26%
16,2020-08-03,7.24%
17,2020-07-27,-6.35%
18,2020-07-20,0.68%
19,2020-07-13,8.42%
20,2020-07-06,6.57%
21,2020-06-29,-3.82%
22,2020-06-22,-13.54%
23,2020-06-15,10.22%
24,2020-06-08,-11.95%
25,2020-06-01,13.05%
26,2020-05-25,-19.49%
27,2020-05-18,
28,2020-05-04,-16.81%
29,2020-04-27,15.87%
30,2020-04-20,-18.42%
31,2020-04-13,
32,2020-03-30,1.53%
33,2020-03-23,-7.3%
34,2020-03-16,1.44%
35,2020-03-09,-2.09%
36,2020-03-02,-3.89%
37,2020-02-24,-11.05%
38,2020-02-17,11.9%
39,2020-02-10,1.81%
40,2020-02-03,-7.8%
41,2020-01-27,-10.86%
42,2020-01-20,1.89%
43,2020-01-13,5.95%
44,2020-01-06,2.05%
45,2019-12-30,
46,2019-07-01,6.52%
47,2019-06-24,-0.78%
48,2019-06-17,-2.88%
0,2019-06-10,
1,2020-11-16,-3.67%
2,2020-11-09,-4.81%
3,2020-11-02,-0.72%
4,2020-10-26,3.12%
5,2020-10-19,7.43%
6,2020-10-12,-9.09%
7,2020-10-05,-0.25%
8,2020-09-28,7.58%
9,2020-09-21,2.12%
10,2020-09-14,0.54%
11,2020-09-07,4.08%
12,2020-08-31,-8.5%
13,2020-08-24,11.23%
14,2020-08-17,3.82%
15,2020-08-10,-11.62%
16,2020-08-03,7.12%
17,2020-07-27,2.65%
18,2020-07-20,-4.85%
19,2020-07-13,-5.49%
20,2020-07-06,-6.85%
21,2020-06-29,5.38%
22,2020-06-22,10.3%
23,2020-06-15,-4.83%
24,2020-06-08,-3.46%
25,2020-06-01,13.09%
26,2020-05-25,-10.58%
27,2020-05-18,-6.67%
28,2020-05-11,0.27%
29,2020-05-04,-4.09%
30,2020-04-27,20.42%
31,2020-04-20,-0.99%
32,2020-04-13,-3.26%
33,2020-04-06,-24.61%
34,2020-03-30,16.96%
35,2020-03-23,
36,2020-01-13,9.9%
37,2020-01-06,3.76%
38,2019-12-30,-19.52%
39,2019-12-23,14.82%
40,2019-12-16,-4.13%
41,2019-12-09,8.22%
42,2019-12-02,6.48%
43,2019-11-25,-35.64%
44,2019-11-18,17.52%
45,2019-11-11,-3.54%
46,2019-11-04,-19.09%
47,2019-10-28,11.96%
48,2019-10-21,8.15%
49,2019-10-14,-24.26%
50,2019-10-07,-1.43%
51,2019-09-30,2.82%
52,2019-09-23,10.39%
53,2019-09-16,-14.56%
54,2019-09-09,-0.94%
55,2019-09-02,15.62%
56,2019-08-26,-5.52%
57,2019-08-19,-12.57%
58,2019-08-12,19.53%
59,2019-08-05,-2.02%
60,2019-07-29,-15.58%
61,2019-07-22,-5.64%
62,2019-07-15,-0.23%
63,2019-07-08,5.09%
0,2019-07-01,
1,2020-11-16,-0.75%
2,2020-11-09,11.34%
3,2020-11-02,2.1%
4,2020-10-26,-2.36%
5,2020-10-19,-5.02%
6,2020-10-12,4.98%
7,2020-10-05,-0.63%
8,2020-09-28,-1.25%
9,2020-09-21,-2.47%
10,2020-09-14,8.23%
11,2020-09-07,-7.22%
12,2020-08-31,10.41%
13,2020-08-24,-15.26%
14,2020-08-17,-2.96%
15,2020-08-10,-0.38%
16,2020-08-03,9.94%
17,2020-07-27,-9.98%
18,2020-07-20,17.57%
19,2020-07-13,-1.41%
20,2020-07-06,-17.09%
